,CPU_Usage,Memory_Usage,Disk_IO,Network_IO,WL_Backup,WL_Crypto_Mining,WL_Database_Query,WL_Video_Streaming,WL_Web_Service,Power_Consumption
0,18.88,43.19,11.4,6.01,False,False,True,False,False,3270.4627972877674
1,25.31,45.43,7.68,17.67,False,False,False,True,False,3945.384148178804
2,3.87,49.5,14.08,3.48,False,False,True,False,False,2938.72441031229
3,20.92,25.88,17.33,4.77,False,False,False,False,True,2850.9307026386373
4,55.59,43.94,10.61,4.48,False,False,False,False,True,4681.655157506253
5,23.99,37.08,6.99,6.85,False,False,False,False,True,3094.560310114752
6,24.66,39.94,8.85,5.39,False,False,False,False,True,3248.774068273692
7,32.09,20.4,3.36,20.98,False,False,False,True,False,3173.6728455466196
9,25.39,50.57,11.72,3.24,False,False,False,False,True,3749.176323923536
10,35.82,48.88,14.47,5.75,False,False,False,False,True,4297.919937747556
11,21.61,36.91,11.66,5.98,False,False,False,False,True,3142.0976608423616
12,28.22,35.9,15.9,4.1,False,False,True,False,False,3463.9617952944805
13,29.28,50.04,11.81,16.77,False,False,False,True,False,4420.50279227539
14,44.95,43.38,26.86,15.4,False,False,False,True,False,5322.596359670406
15,30.87,37.01,10.46,3.01,False,False,True,False,False,3354.556008933324
17,21.92,34.98,14.58,5.33,False,False,False,False,True,3179.2011383361532
18,43.72,80.88,31.91,5.67,True,False,False,False,False,6592.671406869645
19,26.08,25.36,11.48,5.26,False,False,False,False,True,2820.296931189994
20,3.45,43.46,8.02,4.71,False,False,False,False,True,2481.853071123977
21,28.39,44.04,19.43,5.17,False,False,True,False,False,3982.422427828892
22,29.81,23.26,4.64,4.01,False,False,True,False,False,2571.0891945748826
23,30.6,64.63,9.04,5.3,False,False,False,False,True,4486.542665889347
24,33.4,39.93,13.84,3.85,False,False,False,False,True,3738.18184735012
25,37.91,30.91,17.01,12.99,False,False,False,True,False,4049.639051817888
26,21.19,40.77,7.53,24.62,False,False,False,True,False,3870.4363272779997
27,31.0,34.97,2.25,5.07,False,False,False,False,True,3032.8758305523
28,35.36,30.85,13.1,19.2,False,False,False,True,False,4046.584853934691
29,22.17,36.78,14.07,3.77,False,False,False,False,True,3186.7372233740066
30,43.64,92.7,31.76,4.79,True,False,False,False,False,7022.047412793192
31,32.6,83.91,22.63,3.68,True,False,False,False,False,5813.726072250843
32,36.18,52.17,11.13,24.24,False,False,False,True,False,5052.218504566337
33,32.93,32.86,19.33,5.47,False,False,False,False,True,3717.0263750433296
34,37.35,30.46,6.24,14.35,False,False,False,True,False,3633.4834035691697
35,39.63,44.13,14.11,29.48,False,False,False,True,False,5197.03506271449
36,16.3,32.28,14.39,4.76,False,False,False,False,True,2802.977693351667
37,30.13,54.54,8.68,33.6,False,False,False,True,False,5172.809566688988
38,20.37,49.77,10.21,4.86,False,False,False,False,True,3509.770031004961
39,27.77,47.14,12.37,4.93,False,False,False,False,True,3795.9589265433333
41,32.14,27.54,10.87,5.39,False,False,True,False,False,3138.9865459200123
42,32.31,31.91,15.29,5.05,False,False,True,False,False,3484.2825847702197
43,40.83,50.54,3.11,15.31,False,False,False,True,False,4499.129346628093
44,33.04,81.29,35.24,5.87,True,False,False,False,False,6320.063752165275
45,35.71,51.36,14.77,5.65,False,False,True,False,False,4393.901783117911
46,18.47,72.5,36.65,4.14,True,False,False,False,False,5372.894252244116
47,53.15,21.33,13.43,3.39,False,False,False,False,True,3753.6763384086325
48,21.07,36.65,17.8,5.13,False,False,False,False,True,3332.57712863039
49,22.7,42.16,10.23,4.35,False,False,False,False,True,3274.8680254436827
50,43.63,48.29,10.08,5.44,False,False,True,False,False,4396.6266247892345
51,23.38,48.52,6.04,4.89,False,False,True,False,False,3417.9545848229377
52,22.28,56.61,8.33,4.68,False,False,False,False,True,3768.175209329039
53,47.65,44.05,3.7,5.92,False,False,False,False,True,4149.777775072743
55,42.67,32.92,12.22,5.77,False,False,False,False,True,3838.2558789423015
56,29.81,30.67,3.53,4.89,False,False,True,False,False,2861.4984336269663
57,46.32,25.7,7.8,5.13,False,False,True,False,False,3491.9715780326205
58,30.59,63.48,12.02,5.91,False,False,True,False,False,4574.6565414147835
59,31.99,34.0,10.35,4.61,False,False,False,False,True,3339.6077024603187
60,75.51,52.81,6.92,7.11,False,True,False,False,False,5791.5039117210445
61,28.48,45.88,11.4,4.38,False,False,True,False,False,3700.831396281769
62,38.85,35.35,6.89,4.64,False,False,False,False,True,3528.9104917357504
63,39.0,43.07,14.06,23.15,False,False,False,True,False,4876.606107525181
64,35.52,32.9,1.06,3.78,False,False,False,False,True,3024.277002966292
65,35.47,37.98,8.91,25.49,False,False,False,True,False,4412.296059916704
66,25.92,42.62,10.06,24.65,False,False,False,True,False,4224.611539922846
67,36.82,78.45,38.24,4.87,True,False,False,False,False,6429.087140613402
